True_value,Prediction
[1152.4594],[1100.5665]
[777.82166],[756.8938]
[845.205],[912.3955]
[1297.5316],[1278.7849]
[905.8093],[903.5419]
[982.38635],[991.2702]
[812.88434],[824.0234]
[1165.1603],[1122.3514]
[1037.346],[1014.4746]
[747.348],[802.82477]
[785.05066],[778.7692]
[743.7217],[803.358]
[753.60535],[776.93353]
[760.16034],[779.18286]
[1432.1913],[1492.7115]
[1207.2024],[1240.2587]
[911.118],[951.10156]
[1030.0603],[1040.127]
[943.43866],[960.1692]
[993.363],[948.3791]
[1310.473],[1553.3248]
[1202.0533],[1210.512]
[871.6973],[902.63696]
[1077.943],[1038.4242]
[896.77435],[947.15576]
[1182.775],[1178.4874]
[1375.7683],[1398.1844]
[858.8677],[843.0338]
[1144.251],[1127.8663]
[1246.2194],[1268.8269]
[1006.867],[1002.19714]
[1228.8434],[1218.839]
[1164.4297],[1150.1807]
[1087.8583],[1114.9811]
[925.92035],[1006.93274]
[1119.3827],[1132.5426]
[1353.4384],[1450.4321]
[602.17633],[622.523]
[1023.06134],[1033.8092]
[1079.0424],[1137.6699]
[827.37],[847.6109]
[771.174],[808.2884]
[847.1277],[804.6759]
[1194.466],[1135.1908]
[1092.812],[1118.3341]
[1124.9183],[1111.3856]
[682.995],[708.0121]
[784.39465],[789.70276]
[901.5023],[910.8316]
[942.76935],[914.99805]
[706.55566],[706.5625]
[874.36633],[833.40564]
[1088.5767],[1131.2817]
[858.6903],[851.809]
[696.59235],[674.7664]
[976.3747],[975.08246]
[816.70465],[793.43616]
[773.369],[730.6187]
[1159.5774],[1151.4725]
[1006.20636],[1017.006]
[1020.67633],[1064.8677]
[784.1537],[806.20874]
[801.23236],[800.8194]
[1097.098],[1117.2374]
[998.6587],[1005.84436]
[923.5707],[956.30914]
[878.71265],[926.6293]
[1083.338],[1053.0461]
[902.8017],[908.28107]
[918.947],[943.38]
[1120.6227],[1133.4456]
[1167.6067],[1189.1714]
[1046.9846],[1080.8638]
[887.00964],[961.5373]
[932.78],[902.4051]
[1127.6656],[1189.749]
[825.4847],[841.52045]
[784.412],[783.71796]
[1255.376],[1255.635]
[696.9617],[671.4095]
[853.5753],[977.73596]
[1062.904],[1102.9172]
[1313.9226],[1301.0242]
[694.64667],[692.9825]
[888.87366],[871.4568]
[1096.083],[1081.2634]
[1037.9457],[970.0508]
[853.1717],[880.4637]
[943.32434],[954.25256]
[860.65436],[818.21893]
[1125.135],[1106.3809]
[1268.079],[1247.7552]
[1111.6306],[1160.8759]
[1263.452],[1147.1741]
[1248.821],[1248.3177]
[1110.0197],[1092.2881]
[740.5573],[766.3439]
[1096.847],[1090.8824]
[983.7217],[1012.3274]
[1324.537],[1391.8289]
[770.66064],[783.1854]
[1130.291],[1106.3339]
[1358.1707],[1394.0787]
[1168.367],[1127.5376]
[1040.265],[1055.8082]
[793.61066],[803.8685]
[1245.946],[1242.0599]
[801.985],[834.926]
[1055.7117],[1060.2565]
[1106.4684],[1123.6014]
[885.605],[904.1484]
