True_value,Prediction
[882.9343],[883.2158]
[967.439],[985.36304]
[1588.3657],[1553.5472]
[1013.054],[985.99786]
[974.9323],[1060.8499]
[700.7053],[725.11926]
[1370.5027],[1383.6879]
[1010.865],[973.8981]
[902.24664],[880.02747]
[1244.4833],[1208.62]
[951.9137],[953.4834]
[730.534],[747.87805]
[996.42633],[1084.9855]
[918.9087],[943.7404]
[1246.2267],[1265.6871]
[1288.6716],[1330.3704]
[925.787],[909.2036]
[926.78467],[974.62683]
[750.83136],[754.0915]
[1036.9883],[1057.9598]
[1369.2933],[1409.6885]
[709.394],[671.9653]
[1301.773],[1338.1055]
[1285.6204],[1323.2413]
[856.1063],[871.09265]
[692.013],[667.8457]
[917.8027],[921.96313]
[832.004],[878.6268]
[917.43665],[938.43976]
[1499.6917],[1470.3594]
[1076.653],[1088.5067]
[1116.427],[1074.698]
[903.99036],[929.5448]
[698.539],[714.2254]
[1152.362],[1149.9147]
[967.682],[1002.9032]
[955.243],[941.42206]
[1078.2593],[1064.0095]
[742.20636],[759.7481]
[782.5003],[816.15155]
[907.58466],[991.82825]
[962.56134],[1012.8641]
[1133.128],[1155.1278]
[773.3437],[762.5847]
[888.67],[936.18646]
[1081.7427],[1081.021]
[793.59033],[786.5984]
[1238.6396],[1551.2435]
[1077.3407],[1054.6627]
[1033.4193],[1017.3066]
[1388.017],[1420.0453]
[829.113],[885.18756]
[1168.0083],[1178.2252]
[971.394],[924.05676]
[1282.8867],[1315.4401]
[708.85736],[684.8684]
[982.27264],[1003.39233]
[1033.6487],[1043.7721]
[1293.9197],[1331.5206]
[1400.1776],[1418.5978]
[927.93066],[889.1021]
[818.612],[786.1767]
[873.68933],[828.5157]
[1004.148],[1015.4815]
[1605.9064],[1553.7003]
[939.578],[976.99243]
[1293.7623],[1309.5449]
[730.0207],[741.7636]
[945.26434],[973.51373]
[957.8623],[934.02563]
[970.4767],[972.7299]
[904.177],[934.0756]
[999.153],[1070.0238]
[779.431],[790.5481]
[1197.9307],[1193.3276]
[1077.1173],[1065.2012]
[920.01935],[944.58923]
[724.13635],[707.413]
[970.6513],[1004.9878]
[1144.015],[1162.1768]
[1499.822],[1553.2905]
[837.1243],[860.6918]
[1007.2493],[984.4529]
[795.6647],[795.11304]
[1215.1173],[1052.1619]
[1120.937],[1167.58]
[1531.5297],[1553.5332]
[1326.8263],[1351.9745]
[999.98334],[1009.70374]
[815.263],[832.40894]
[1109.2184],[1130.0853]
[1031.8613],[1099.8218]
[788.268],[877.20636]
[788.5673],[800.338]
[1268.98],[1306.6265]
[1278.0977],[1299.0378]
[1143.869],[1132.3647]
[1310.2217],[1185.49]
[870.168],[913.234]
[1721.6273],[1553.276]
[1350.3444],[1419.318]
[763.098],[796.8397]
[858.61835],[850.6334]
[822.78766],[837.754]
[1081.1013],[1047.087]
[919.54],[963.4293]
[821.9217],[799.326]
[741.7707],[753.922]
[1019.1177],[1018.7948]
[940.038],[943.2904]
[1383.841],[1384.9047]
[1226.8076],[1285.1771]
[860.265],[845.30286]
[948.7523],[944.68274]
[788.2377],[763.2241]
[955.576],[954.2139]
[1412.5077],[1318.3079]
[990.79266],[1021.166]
[982.05634],[1000.673]
[753.5187],[761.82367]
[1080.1816],[1048.5316]
[920.21564],[938.05444]
[1075.7803],[1063.7367]
[1046.083],[1062.0482]
[1558.244],[1553.0049]
[1056.4137],[1073.0564]
[983.9863],[1132.9391]
[877.74664],[938.1097]
[829.97864],[794.116]
[1246.4927],[1132.6129]
[805.9017],[804.7881]
[877.4373],[821.65186]
[850.11536],[908.7523]
[802.599],[813.19434]
[679.1373],[674.61194]
[896.83136],[926.65265]
[939.8753],[955.2278]
[1042.6487],[1108.4276]
[1154.3846],[1209.5554]
[810.08264],[868.63745]
[1408.6527],[1499.4202]
[947.97766],[975.9784]
[1338.613],[1326.2543]
[1116.7814],[1132.109]
[982.509],[996.7618]
[883.2133],[865.5775]
[888.4037],[893.18097]
[996.708],[1072.3157]
[870.10834],[780.0089]
[894.06067],[932.1882]
[676.1487],[676.5888]
[1020.6067],[1031.6498]
[1195.6354],[1141.8484]
[1098.0514],[1118.9601]
[887.15564],[914.75073]
[1315.3947],[1425.8402]
[1134.0693],[1083.8352]
[1267.29],[1238.8406]
[837.4147],[823.62427]
[1473.2823],[1539.412]
[709.136],[685.2744]
[1081.8744],[1076.9337]
[702.65234],[680.3167]
[905.292],[818.5185]
[1191.34],[1164.6368]
[1514.55],[1553.5614]
[1067.8444],[1161.6324]
[965.39636],[941.0554]
[1209.9376],[1180.7642]
[1186.2086],[1219.0942]
[1153.3427],[1123.4379]
[935.0267],[1033.4401]
[1216.5073],[1236.4915]
[813.41864],[800.0589]
[798.5867],[782.9801]
[1275.2396],[1366.628]
[840.941],[821.23737]
[970.57666],[992.4467]
[908.961],[889.2909]
[748.016],[703.9218]
[845.1127],[801.34875]
[1090.06],[1204.0511]
[1184.1903],[1224.9205]
[1397.856],[1439.5902]
[832.5027],[870.80493]
[951.495],[991.4553]
[620.527],[662.3593]
[747.79834],[680.4015]
[732.04736],[813.17096]
[1098.799],[1157.2843]
[846.2633],[882.1253]
[1129.265],[1117.7603]
[1455.5643],[1411.8395]
[1162.9663],[1149.8188]
[985.94135],[934.9726]
[973.535],[948.3347]
[1171.3544],[1122.7401]
[1245.3817],[1276.0414]
[1455.357],[1385.3752]
[769.2443],[802.2513]
[950.4867],[998.15717]
[740.254],[746.7262]
[994.55566],[970.7588]
[924.005],[921.2156]
[1034.5557],[1061.589]
[1286.674],[1255.6906]
[1232.2533],[1243.244]
[1013.5523],[1063.4308]
[744.357],[744.82495]
[1390.5963],[1442.6514]
[1353.2587],[1389.545]
[1177.234],[1245.4768]
[680.96564],[717.93713]
[1148.5306],[1164.6195]
[763.0963],[777.9046]
[1148.6664],[955.4417]
[975.979],[1010.00354]
[803.93036],[818.11127]
[1286.0443],[1365.646]
[1099.161],[1019.4297]
[1110.048],[1140.8823]
[970.779],[971.7111]
[1384.9937],[1445.6793]
[921.67566],[873.9483]
[973.63666],[962.25256]
[1072.3394],[1062.012]
[932.1],[917.08484]
[1123.2974],[1091.8447]
[961.7237],[996.71326]
[896.0397],[856.51294]
[743.9533],[761.00256]
[826.62335],[817.5145]
[1007.89435],[1037.2131]
[1011.573],[1132.2987]
[1029.7227],[1059.946]
[1330.3823],[1358.5375]
[1026.7317],[1051.6356]
[739.60834],[736.45447]
[1452.035],[1550.1842]
[1044.4197],[1026.8969]
[876.60767],[862.8523]
[822.47235],[801.5113]
[1126.298],[1104.9967]
[905.00867],[912.4402]
[972.326],[969.978]
[1174.0826],[1172.799]
[942.1223],[972.8109]
[1268.1664],[1337.8657]
[703.14764],[702.2015]
[1049.23],[1079.2255]
[1229.8633],[1217.0177]
[1093.247],[1125.9033]
[869.8307],[905.0962]
[1006.793],[1001.73926]
[1499.492],[1508.2523]
[923.831],[950.88495]
[1375.2227],[1445.1646]
[1238.445],[1296.5719]
[664.317],[672.63794]
[1265.173],[1210.6333]
[1043.3097],[1088.8783]
[1270.2157],[1232.6394]
[860.1927],[959.3945]
[739.7167],[719.45807]
[911.27936],[930.28845]
[616.574],[648.3195]
[918.62933],[947.2299]
[1370.5297],[1388.2075]
[1408.434],[1352.1459]
[1183.0297],[1156.6708]
[1203.2643],[1161.8564]
[991.4843],[1012.1651]
[1087.865],[1029.4689]
[1129.5557],[1128.564]
[1133.7076],[1130.6619]
[835.13934],[807.8771]
[1117.4647],[1113.6682]
[797.1067],[763.4242]
[713.7267],[708.9985]
[1510.2383],[1489.4718]
[793.48236],[790.58044]
[1067.574],[1066.7012]
[864.93634],[960.69635]
[1042.1437],[1081.0217]
[1182.9844],[1193.5625]
[937.552],[981.6571]
[1038.383],[1058.589]
[703.185],[725.7245]
[1171.337],[1093.2104]
[958.96],[979.1895]
[822.605],[796.66327]
[1191.286],[1210.0161]
[897.698],[916.65594]
[1206.5123],[1211.8116]
[801.6563],[791.0343]
[1118.1094],[1116.4669]
[1202.0786],[1176.9452]
[1194.068],[1158.746]
[853.238],[896.90643]
[835.651],[781.736]
[994.1797],[964.26385]
[1025.749],[1048.122]
[979.2757],[912.7622]
[896.12964],[886.375]
[992.3983],[1030.363]
[853.741],[897.19904]
[894.786],[924.81946]
[726.825],[700.8373]
[1470.08],[1553.4082]
[669.69434],[638.83136]
[761.5023],[740.61926]
[975.10834],[981.43976]
[700.84564],[712.70526]
[718.43],[690.6189]
[849.785],[836.86694]
[876.8093],[893.2019]
[1114.3893],[1096.8975]
[1156.7134],[1165.5282]
[725.42],[775.2042]
[972.23267],[938.85913]
[1223.1437],[1191.1511]
[1249.673],[1305.6154]
[815.86664],[787.96014]
[1088.4694],[1080.2037]
[1196.374],[1174.7255]
[790.8157],[750.02277]
[680.1747],[660.0133]
[1164.458],[1290.2385]
[713.82],[707.4607]
[1063.7563],[1103.002]
[1218.3867],[1128.7058]
[1028.0476],[1024.2001]
[1154.4137],[1187.9526]
[704.834],[699.03394]
[886.0077],[891.5694]
[669.665],[677.8875]
[1081.1603],[1097.1979]
[1498.265],[1390.9835]
[1310.1523],[1390.0284]
[1337.605],[1359.8008]
[732.2657],[734.09326]
[1071.361],[1097.7203]
[1178.0894],[1133.892]
[882.01636],[884.1932]
[892.53766],[946.14197]
[1040.734],[948.6029]
[1051.662],[1048.048]
[897.80365],[953.4385]
[752.6483],[734.39355]
[1284.5006],[1309.3002]
[820.099],[805.9761]
[800.022],[812.3401]
[948.00366],[934.1929]
[837.069],[835.9926]
[836.005],[830.2955]
[1054.3817],[1099.4194]
[1202.4486],[1205.019]
[1031.9053],[1011.2438]
[970.221],[1048.2073]
[851.0787],[821.47186]
[795.72736],[768.27594]
[702.39966],[695.9277]
[825.8207],[845.09424]
[1181.5957],[1170.047]
[1104.2036],[1107.0845]
[700.5703],[677.60516]
[1094.2966],[1094.434]
[1300.6427],[1314.1559]
[1139.325],[1124.5983]
[787.64136],[803.0984]
[768.977],[743.71796]
[971.23065],[991.5982]
[915.45233],[908.81494]
[1032.9413],[1079.391]
[1095.759],[1101.3663]
[951.1097],[914.4841]
[791.31964],[719.8484]
[1035.885],[1063.4287]
[804.073],[791.0427]
[869.74536],[855.3292]
[992.0997],[1022.12573]
[874.46466],[866.3434]
[1068.5414],[1083.0856]
[701.384],[705.6169]
[1205.1523],[1225.3014]
[809.31366],[897.4654]
[809.6277],[779.041]
[1476.5634],[1469.9126]
[902.39667],[924.73584]
[1251.4573],[1212.5742]
[801.92834],[817.026]
[1443.9053],[1454.6444]
[1239.5876],[1313.841]
[813.69366],[787.0562]
[816.96564],[841.36383]
[729.5463],[707.97595]
[1507.325],[1516.1621]
[1088.9883],[1090.9355]
[1083.7286],[1093.5869]
[816.767],[784.27405]
[1101.1917],[1102.6567]
[1090.387],[1119.5404]
[872.7187],[841.7797]
[854.79736],[874.011]
[861.759],[872.53436]
[977.22064],[990.84576]
[741.1743],[698.09955]
[1022.0803],[944.9046]
[1340.3596],[1336.3553]
[708.1823],[717.86]
[812.0467],[764.3358]
[919.63336],[926.44586]
[894.92365],[860.0982]
[990.677],[1013.2222]
[1045.783],[1049.0569]
[702.52466],[690.893]
[1655.5167],[1553.4683]
[845.48],[814.0146]
[1072.297],[1068.3689]
[817.44434],[824.15405]
[832.746],[824.62836]
[1040.517],[1084.7142]
[732.15234],[745.51227]
[677.52234],[664.6628]
[879.187],[892.1509]
[1235.4064],[1266.4675]
[759.03467],[720.9908]
[993.07434],[1012.855]
[1146.9967],[1103.9664]
[668.761],[680.20557]
[1156.4723],[1181.624]
[1485.0387],[1547.0453]
[882.334],[889.8755]
[907.725],[903.9702]
[661.247],[664.12836]
[937.104],[982.7637]
[1144.9973],[1162.2699]
[1138.3767],[1126.8079]
[1009.209],[1032.7869]
[682.893],[655.4802]
[1032.8336],[1043.3591]
[702.655],[666.9971]
[1312.1437],[1260.624]
[1071.301],[1010.4857]
[921.984],[915.523]
[1101.855],[1126.7183]
[909.5157],[916.8055]
[1338.118],[1236.0366]
[1708.2974],[1553.296]
[1280.086],[1242.9426]
[916.92365],[963.4109]
[1230.4854],[1253.606]
[1044.5707],[1040.3948]
[1294.5497],[1295.481]
[968.57965],[978.2114]
[1174.6884],[1161.0645]
[1029.8167],[1068.858]
[797.5313],[788.66144]
[1034.0424],[913.6527]
[876.352],[887.34174]
[788.676],[783.9848]
[1073.3677],[1066.8898]
[1224.0254],[1247.953]
[720.228],[679.00946]
[1239.7446],[1259.6567]
[1155.282],[1217.8477]
[1142.9366],[1098.9049]
[1115.0897],[1087.9751]
[1142.3184],[1089.3318]
[1067.2706],[1065.7372]
[971.71564],[930.5803]
[1024.4547],[1010.322]
[970.72235],[975.39056]
[793.89667],[730.89197]
[982.73035],[988.4835]
[994.13934],[985.61316]
[783.10065],[785.39557]
[1591.6117],[1551.6029]
[935.862],[968.1963]
[793.5863],[815.28265]
[1060.1187],[1050.1337]
[1094.769],[1192.131]
[749.709],[716.8044]
[1095.43],[1069.489]
[747.59735],[783.3848]
[947.954],[990.90295]
[807.101],[864.35626]
[762.1767],[763.1002]
[870.45435],[847.5175]
[1228.833],[1252.6473]
[842.108],[852.52576]
[792.519],[857.3979]
[1036.479],[1015.71063]
[761.6373],[720.4317]
[1137.7787],[1201.0652]
[827.0653],[789.11096]
[1006.496],[918.4745]
[903.28235],[915.6625]
[959.8367],[967.29126]
[871.9163],[857.92004]
[1026.3846],[1031.363]
[1360.8147],[1314.4043]
[922.743],[917.77826]
[789.043],[754.4028]
[895.0597],[962.9285]
[1219.274],[1177.1512]
[963.49066],[957.50665]
[1148.4727],[1135.5416]
[958.00336],[967.77014]
[1236.2504],[1223.0618]
[1172.172],[1169.5706]
[937.57666],[970.37787]
[708.547],[706.0248]
[782.981],[783.66754]
[853.726],[871.4639]
[734.678],[752.98975]
[1165.5004],[1212.8721]
[845.12665],[817.9991]
[961.58435],[981.7775]
[692.4867],[704.3711]
[783.6273],[841.8436]
[1059.533],[1093.5586]
[1212.4004],[1184.043]
[1064.2903],[1033.4586]
[1196.5293],[1204.0354]
[1120.0377],[1092.8058]
[916.35535],[963.2089]
[1085.957],[1095.0424]
[1206.0214],[1240.0095]
[1466.0713],[1553.0714]
[819.9147],[928.12195]
[631.064],[649.01685]
[771.95636],[836.3595]
[1070.6523],[1056.2043]
[945.29],[914.13]
[1032.9736],[1018.61206]
[906.87366],[973.0055]
[838.89233],[797.6321]
[1310.7604],[1330.624]
[811.68164],[762.1569]
[1194.0447],[1178.8503]
[648.53766],[730.37085]
[1421.9474],[1429.4618]
[972.9847],[1026.2517]
[928.37067],[943.6016]
[1014.6357],[970.72217]
[1184.741],[1193.2363]
[686.31665],[667.35626]
[763.0123],[764.70337]
[1237.8923],[1277.8477]
[1147.1296],[1132.5898]
[1008.137],[1023.3082]
[650.9843],[655.58545]
[876.0673],[872.7892]
[698.677],[707.2982]
[973.451],[984.9817]
[1085.9634],[1099.6423]
[931.9993],[998.79425]
[1055.349],[1044.9348]
[923.8807],[849.6222]
[863.1583],[871.5211]
[776.99335],[697.9495]
[1393.451],[1384.7826]
[900.69],[885.6487]
[1022.254],[971.81323]
[797.0707],[794.6308]
[627.7963],[612.6485]
[908.641],[955.9127]
[651.339],[625.36304]
[1211.1483],[1204.3115]
[1136.351],[1104.2985]
[1111.667],[1124.442]
[1183.1707],[1216.1884]
[773.08765],[756.31665]
[869.515],[861.9832]
[1025.481],[1020.49304]
[848.509],[807.27454]
[695.89764],[670.9202]
[1099.701],[1110.6932]
[713.419],[709.58185]
[1095.5114],[1093.4172]
[1247.179],[1116.934]
[778.9873],[799.05786]
[1107.8817],[1132.9487]
[1310.3344],[1321.0248]
[846.9737],[904.7933]
[830.5523],[837.3376]
[1265.138],[1253.1652]
[1187.7543],[1196.8964]
[825.07434],[890.9705]
[960.61536],[954.59753]
[1077.689],[1089.2406]
[710.48535],[676.5256]
[665.78033],[672.95593]
[991.4893],[963.0393]
[1235.2864],[1284.2341]
[1122.6917],[1143.735]
[1154.247],[1112.1772]
[874.18567],[907.599]
[587.67236],[598.4654]
[1098.8097],[1082.5735]
[980.9167],[1037.4913]
[1473.923],[1552.4193]
[1397.516],[1433.2842]
[1010.01764],[996.6957]
[1195.125],[1254.5956]
[995.51166],[978.00543]
[957.8093],[973.50446]
[870.29333],[985.746]
[1153.1136],[1222.6913]
[1001.02765],[979.8727]
[1174.4114],[1212.9745]
[1061.369],[1066.0724]
[815.3337],[786.1537]
[1135.475],[1122.4252]
[787.2247],[782.77466]
[817.7993],[803.5922]
[810.59033],[779.1085]
[898.2683],[891.6775]
[1011.75836],[965.952]
[875.795],[885.3493]
[882.585],[941.02966]
[680.888],[676.9975]
[890.79236],[910.91925]
[960.58264],[989.66907]
[841.731],[809.31146]
[856.0363],[842.7251]
[943.471],[1020.4983]
[911.34436],[946.75854]
[800.53766],[772.72815]
[1013.558],[997.03156]
[1028.556],[979.2537]
[815.84265],[841.94904]
[1193.7816],[1198.7471]
[1036.7024],[1055.2225]
[1189.6953],[1224.5172]
[893.9993],[946.60406]
[862.09467],[842.5493]
[849.596],[797.3453]
[1418.7537],[1498.4064]
[894.993],[900.2906]
[1308.1273],[1403.0151]
[649.315],[617.9293]
[690.87],[674.6532]
[1053.7947],[1013.2114]
[1196.25],[1100.8517]
[1420.3103],[1522.0499]
[1161.5356],[1179.5493]
[1534.1733],[1470.5559]
[725.775],[719.1827]
[859.517],[826.6398]
[978.0593],[1069.4138]
[1060.4214],[1083.7931]
[1296.4517],[1374.4045]
[1034.9023],[1040.7924]
[1285.489],[1388.3551]
[790.113],[768.7513]
[845.11],[848.34735]
[1474.4536],[1490.0051]
[786.5003],[799.7702]
[832.2503],[872.64105]
[1213.6354],[1191.2103]
[1044.1733],[1117.0284]
[870.85065],[843.70703]
[1128.3427],[1141.7365]
[1046.6913],[1083.253]
[894.31836],[924.0498]
[898.459],[930.63605]
[888.21564],[902.69885]
[715.3467],[690.04755]
[955.0543],[948.1101]
[1382.8917],[1376.7987]
[1003.2343],[1057.1813]
[1199.8646],[1174.2385]
[947.87933],[974.50964]
[916.97534],[962.66815]
[849.79865],[836.8086]
[1324.3394],[1319.5206]
[691.32666],[689.52466]
[975.6377],[967.547]
[789.6713],[836.0097]
[1005.92334],[1055.3568]
[1289.8014],[1356.5271]
[858.64166],[892.2357]
[1339.4376],[1385.0769]
[1403.883],[1483.0558]
[855.7213],[909.7927]
[1037.011],[1122.9211]
[931.79565],[972.58417]
[834.7163],[840.5414]
[948.165],[962.3987]
[1151.7],[1190.0322]
[1367.1986],[1448.2444]
[863.39233],[995.47815]
[895.724],[834.375]
[1161.771],[1076.8649]
[842.30634],[862.3575]
[820.99365],[805.8849]
[816.844],[796.1469]
[1265.198],[1207.4697]
[760.705],[733.76544]
[995.30334],[997.2792]
[979.632],[997.29846]
[1058.22],[1051.2836]
[1249.83],[1213.2877]
[871.14435],[953.47906]
[921.308],[963.55176]
[972.64264],[982.64465]
[828.7637],[813.8191]
[1158.0366],[1130.1368]
[1333.349],[1340.9572]
[1068.7036],[1104.395]
[1022.572],[1023.76434]
[1095.6094],[1095.5072]
[889.83936],[930.0676]
[1216.5903],[1237.5033]
[1171.6483],[1124.9426]
[1291.5114],[1343.1411]
[1051.732],[1092.1903]
[1115.9016],[1137.7261]
[932.7763],[915.5568]
[1002.0127],[1044.3795]
[1235.68],[1300.0289]
[901.0077],[869.1905]
[1397.6487],[1380.6941]
[834.61633],[934.15497]
[839.94867],[815.9296]
[1294.0947],[1283.5195]
[1141.979],[1126.7733]
[955.827],[1002.1795]
[808.4217],[827.89453]
[866.448],[883.7761]
[1150.6333],[1135.5925]
[1132.1707],[1126.2725]
[764.008],[758.0008]
[1379.0803],[1362.4822]
[860.669],[897.2907]
[884.99664],[893.7997]
[900.94434],[871.4446]
[1017.28436],[1056.9468]
[1180.314],[1182.1503]
[958.89435],[984.3175]
[905.35736],[931.1175]
[922.732],[928.6488]
[796.9817],[829.1581]
[786.677],[811.3154]
[1276.096],[1326.392]
[738.034],[740.935]
[1189.385],[1138.8654]
[802.7963],[820.74414]
[985.072],[966.5581]
[916.1503],[1023.614]
[984.80664],[991.32227]
[1174.869],[1162.27]
[842.7423],[837.5891]
[760.76434],[805.0102]
[733.6663],[734.13367]
[922.4217],[925.85864]
[884.0313],[861.5685]
[860.2707],[860.2064]
[750.24036],[683.67847]
[1308.2013],[1273.7189]
[743.9457],[721.0311]
[755.6777],[786.92676]
[973.3017],[1100.8666]
[953.33136],[901.8243]
[1387.4066],[1328.3605]
[1212.4987],[1255.5654]
[784.5413],[791.89545]
[881.33734],[894.79895]
[1192.146],[1187.7059]
[1057.0023],[1030.6855]
[1313.3727],[1183.7506]
[1210.8307],[1162.332]
[1357.24],[1408.7528]
[775.133],[722.94794]
[844.83966],[788.7375]
[743.8887],[806.93353]
[1038.6073],[1013.0781]
[960.1197],[957.5979]
[643.388],[665.0133]
[1208.136],[1211.5898]
[877.77966],[838.8596]
[1424.3384],[1412.4207]
[1468.355],[1353.3406]
[1234.9253],[1195.6492]
[1389.6874],[1502.6049]
[903.0623],[906.9595]
[795.82666],[780.3885]
[1507.552],[1547.1522]
[894.45465],[905.3328]
[829.217],[794.9126]
[1116.1477],[1043.2114]
[958.849],[1042.8368]
[708.047],[703.5084]
[773.90436],[806.5191]
[1144.3627],[1128.1364]
[1081.1387],[1105.5521]
[1149.6447],[1156.1741]
[850.723],[850.6258]
[1262.3326],[1263.5259]
[1151.1036],[1132.5039]
[857.9587],[878.72534]
[1089.2073],[1072.0573]
[1004.0523],[1055.1387]
[1119.6213],[1057.8643]
[967.91235],[1010.2387]
[912.476],[918.19916]
[1315.5453],[1293.6355]
[949.589],[1009.88837]
[757.4613],[823.1675]
[722.19366],[702.95447]
[1000.008],[1035.6929]
[1564.5493],[1553.638]
[1392.4016],[1355.1094]
[798.587],[819.75256]
[1385.1997],[1361.7948]
[666.35034],[663.52155]
[1120.0353],[1193.4806]
[1160.1487],[1173.3628]
[1469.1924],[1394.2146]
[1049.794],[1048.9747]
[1009.7577],[1018.9553]
[633.84436],[639.281]
[922.524],[950.2134]
[1390.85],[1553.5614]
[943.306],[928.78754]
[1177.194],[1177.6086]
[1744.7303],[1553.4491]
[701.366],[721.72546]
[1006.01135],[1007.7906]
[888.114],[876.49304]
[922.73],[918.3511]
[739.588],[750.51483]
[1349.7943],[1384.5295]
[766.212],[765.6024]
[1101.2764],[1158.3251]
[904.072],[934.9455]
[1157.5466],[1133.5289]
[801.267],[824.1375]
[1490.5566],[1553.6957]
[644.31067],[641.74304]
[849.80066],[758.60516]
[1142.4226],[1131.7058]
[1281.1287],[1244.1161]
[1427.3407],[1347.8755]
[1321.032],[1416.2834]
[1061.5717],[1098.8575]
[907.4193],[933.87823]
[1389.2816],[1438.621]
[964.228],[982.81415]
[1379.4786],[1382.0411]
[1130.4153],[1093.2065]
[1119.9896],[1181.5018]
[874.30365],[890.887]
[641.67236],[636.51154]
[1189.255],[1181.5638]
[799.8697],[798.3663]
[1195.7273],[1127.9395]
[1042.695],[1002.859]
[1140.9973],[1168.2643]
[697.059],[647.4748]
[843.72833],[844.71094]
[1412.2303],[1439.8689]
[809.187],[821.09814]
[701.75867],[695.01355]
[1020.66565],[1113.9155]
[651.0133],[652.5474]
[1176.9946],[1224.2783]
[961.306],[1026.1918]
[1035.4807],[1017.3883]
[811.22534],[734.06134]
[946.2603],[884.9971]
[862.42834],[890.5632]
[1037.9594],[1044.8645]
[851.6097],[876.6768]
[1350.4567],[1385.5569]
[803.6537],[793.49]
[1366.7184],[1323.0455]
[978.06335],[1060.839]
[1058.1566],[1064.0901]
[1076.806],[1109.69]
[694.43066],[685.872]
[1057.1553],[1080.9291]
[845.93835],[892.0115]
[1046.2596],[1034.2793]
[1343.5314],[1349.0385]
[1017.53265],[895.58765]
[962.45764],[954.6537]
[877.45636],[975.7641]
[790.973],[783.9445]
[1428.793],[1397.9825]
[699.0233],[685.4443]
[1046.227],[1067.6454]
[1197.839],[1188.8313]
[818.962],[817.0517]
[1242.743],[1273.7915]
[971.3357],[977.61926]
[823.438],[793.68317]
[708.4873],[670.0973]
[638.807],[651.8379]
[830.3823],[833.07074]
[1315.7113],[1299.4475]
[892.1047],[939.65015]
[842.58167],[829.48505]
[630.45667],[658.16077]
[759.00165],[781.35956]
[838.37067],[776.4115]
[586.4633],[607.60046]
[918.339],[974.8032]
[1466.6984],[1553.6007]
[1024.1523],[1039.2305]
[1388.554],[1427.7823]
[1247.8813],[1175.6001]
[1214.8867],[1247.6049]
[1067.727],[1053.0802]
[1091.7866],[1066.7284]
[951.74634],[983.81415]
[1129.6924],[1124.6659]
[757.1403],[819.0852]
[977.983],[1033.5488]
[1114.1036],[1065.5929]
[935.99835],[954.6697]
[1017.56134],[976.92065]
[1226.6356],[1189.7384]
[844.846],[782.54675]
[1058.5353],[1027.4147]
[1021.37836],[982.7326]
[1389.5757],[1373.6893]
[920.9167],[989.34985]
[821.63336],[893.6769]
[1036.7167],[1013.95386]
[1102.5624],[1189.7474]
[1166.7013],[1133.7883]
[750.79364],[729.9095]
[1134.0374],[1112.688]
[806.2263],[811.65]
[777.96936],[803.3017]
[1093.255],[1116.6042]
[770.75867],[784.588]
[976.50433],[1033.3552]
[1002.79034],[1030.5751]
[1488.6083],[1545.9843]
[849.12964],[822.33325]
[867.63434],[901.00024]
[1010.9813],[1003.348]
[843.0577],[866.0558]
[991.54236],[988.34796]
[1605.8964],[1553.6746]
[1556.1],[1553.5532]
[1186.749],[1155.6954]
[1006.661],[1022.71857]
[962.937],[999.2122]
[839.01666],[868.53125]
[1276.4667],[1317.0905]
[1160.1013],[1199.6459]
[890.69165],[912.071]
[1379.9023],[1360.2401]
[694.28265],[669.8056]
[805.1973],[820.45044]
[705.7687],[708.8239]
[861.53436],[927.3176]
[1110.5917],[1131.5415]
[1120.913],[1148.7528]
[1289.8076],[1319.1674]
[921.88934],[914.101]
[761.50336],[787.5335]
[810.531],[803.98334]
[914.647],[935.7324]
[817.083],[817.9868]
[939.81635],[960.9766]
[680.463],[628.5754]
[1315.0033],[1341.9716]
[852.194],[848.2298]
[1149.2186],[1128.4594]
[936.6043],[970.2856]
[1016.77966],[1007.5381]
[1240.6593],[1258.7721]
[869.92365],[907.112]
[1047.845],[1044.5016]
[798.17365],[837.3233]
[1069.058],[1084.9584]
[968.78],[1031.6383]
[1306.4266],[1283.6538]
[700.8877],[691.7204]
[900.456],[891.98987]
[705.529],[675.53955]
[1028.6847],[1050.61]
[1025.9713],[1001.59534]
[825.6537],[833.0624]
[811.049],[834.183]
[823.4683],[806.4754]
[1021.69],[1017.93646]
[1289.5984],[1191.8429]
[868.762],[843.87305]
[756.078],[770.21967]
[851.1633],[950.8097]
[996.7053],[1017.31274]
[963.3903],[969.4013]
[1384.661],[1250.7145]
[692.1843],[693.9013]
[1019.564],[961.4482]
[1167.8683],[1159.81]
[1170.325],[1116.3772]
[797.57166],[907.4828]
[1225.9264],[1264.4718]
[1046.6077],[1080.9666]
[1186.3534],[1176.7864]
[890.204],[905.7131]
[1169.008],[1150.3157]
[718.11365],[682.73773]
[835.31335],[867.7508]
[988.25635],[971.86304]
[802.541],[795.79504]
[1526.8767],[1518.421]
[955.02136],[951.27]
[934.771],[925.47534]
[772.255],[763.2015]
[1094.155],[1100.6089]
[942.1643],[964.2804]
[995.042],[981.7812]
[779.2963],[841.8342]
[1150.6527],[1066.9951]
[829.33],[823.34424]
[859.901],[901.57513]
[712.12866],[668.52435]
[891.71],[840.0147]
[1041.1317],[1034.634]
[1258.907],[1290.2073]
[1255.2937],[1246.7576]
[1385.048],[1401.6289]
[1223.8646],[1193.5378]
[1173.9823],[1199.8956]
[935.443],[939.0758]
[812.35034],[788.2275]
