group,Date,KWH,Next_3_Days_Energy_Total,sunshine,global_radiation,max_temp,mean_temp,min_temp,pressure,cloud_cover_0.0,cloud_cover_1.0,cloud_cover_2.0,cloud_cover_3.0,cloud_cover_4.0,cloud_cover_5.0,cloud_cover_6.0,cloud_cover_7.0,cloud_cover_8.0,precipitation_0,precipitation_1,precipitation_2,precipitation_3,precipitation_4,snow_depth_0.0,snow_depth_1.0,Predictions
26,2013-10-23,752.867,770.4890000000001,324.0,85.0,17.7,15.6,13.4,99930.0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,[798.9847]
31,2012-10-24,821.366,884.9903333333333,96.0,50.0,13.3,14.4,11.9,101960.0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,[862.1953]
49,2013-12-30,972.881,1022.6853333333336,102.0,27.0,10.9,6.4,2.2,101070.0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,[1028.0514]
23,2013-01-22,1156.894,1182.4706666666666,0.0,16.0,2.5,-0.8,-4.7,100150.0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,[1135.601]
47,2013-02-10,1271.713,1191.2043333333334,0.0,23.0,2.0,4.0,2.7,99930.0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,[1197.7279]
2,2013-01-17,1251.014,1360.5046666666667,30.0,22.0,0.6,-1.2,-4.9,101740.0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,[1431.0863]
20,2012-10-19,894.481,966.4716666666668,0.0,28.0,14.1,12.4,11.2,100780.0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,[993.64734]
43,2013-03-03,1166.552,1059.169,144.0,76.0,9.7,3.0,-2.8,102360.0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,[1092.5082]
16,2013-09-24,907.285,894.4546666666669,366.0,132.0,21.9,16.1,10.0,101640.0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,[956.087]
16,2013-04-10,998.319,1014.4593333333332,186.0,128.0,13.4,7.0,2.8,100340.0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,[1075.0402]
1,2013-05-15,930.728,928.7336666666664,78.0,121.0,16.9,10.3,6.1,99450.0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,[949.46875]
10,2012-12-11,916.759,1255.1153333333334,282.0,41.0,0.4,0.5,-1.7,102960.0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,[1182.6556]
33,2013-11-10,1376.227,1262.4506666666666,474.0,79.0,13.1,7.3,4.4,101590.0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,[1309.0682]
